league,player_name,seasons,teams,time_type
Exhibition,Cole Caufield,2017-18,U.S. National Under-17 Team,parse_top_1hr
Exhibition,Cole Caufield,2017-18,U.S. National Under-18 Team,parse_top_1hr
USHL,Cole Caufield,2017-18,U.S. National Under-17 Team,parse_top_1hr
USHL,Cole Caufield,2017-18,U.S. National Under-18 Team,parse_top_1hr
Exhibition,Cole Caufield,2018-19,U.S. National Under-18 Team,parse_top_1hr
USHL,Cole Caufield,2018-19,U.S. National Under-18 Team,parse_top_1hr
Big-10,Cole Caufield,2019-20,U. of Wisconsin,parse_top_1hr
Big-10,Cole Caufield,2020-21,U. of Wisconsin,parse_top_1hr
USHL,Jordan Harris,2017-18,Youngstown Phantoms,parse_top_1hr
H-East,Jordan Harris,2018-19,Northeastern University,parse_top_1hr
H-East,Jordan Harris,2019-20,Northeastern University,parse_top_1hr
H-East,Jordan Harris,2020-21,Northeastern University,parse_top_1hr
WJBHL,Joe Thornton,1994-95,St. Thomas Stars,parse_top_1hr
OHL,Joe Thornton,1995-96,Soo Greyhounds,parse_top_1hr
OHL,Joe Thornton,1996-97,Soo Greyhounds,parse_top_1hr
NHL,Joe Thornton,1997-98,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,1998-99,Boston Bruins,parse_top_1hr
OPJHL,Wojtek Wolski,2001-02,St. Michael's Buzzers,parse_top_1hr
OHL,Wojtek Wolski,2002-03,Brampton Battalion,parse_top_1hr
NHL,Joe Thornton,1999-00,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,2000-01,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,2001-02,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,2002-03,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,2003-04,Boston Bruins,parse_top_1hr
Swiss-A,Joe Thornton,2004-05,Davos HC,parse_top_1hr
NHL,Joe Thornton,2005-06,Boston Bruins,parse_top_1hr
NHL,Joe Thornton,2005-06,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2006-07,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2007-08,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2008-09,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2009-10,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2010-11,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2011-12,San Jose Sharks,parse_top_1hr
Swiss-A,Joe Thornton,2012-13,Davos HC,parse_top_1hr
NHL,Joe Thornton,2012-13,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2013-14,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2014-15,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2015-16,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2016-17,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2017-18,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2018-19,San Jose Sharks,parse_top_1hr
NHL,Joe Thornton,2019-20,San Jose Sharks,parse_top_1hr
WHL,Kirby Dach,2016-17,Saskatoon Blades,parse_top_1hr
WHL,Kirby Dach,2017-18,Saskatoon Blades,parse_top_1hr
WHL,Kirby Dach,2018-19,Saskatoon Blades,parse_top_1hr
NHL,Kirby Dach,2019-20,Chicago Blackhawks,parse_top_1hr
AHL,Kirby Dach,2019-20,Rockford IceHogs,parse_top_1hr
