born_date,born_year,current_team,height,name,weight
September 7,1998,Dallas Stars,6-2,Nicholas Caamano,195lb
May 15,1953, ,5-11,Brett Callighen,182lb
April 23,1961, ,6-1,Jock Callander,188lb
August 17,1956, ,6-2,Drew Callander,185lb
March 21,1985, ,5-10,Ryan Callahan,187lb
August 17,1991, ,5-11,Mitch Callahan,198lb
September 23,1999, ,6-1,Michael Callahan,191lb
December 20,1982, ,6-3,Joe Callahan,220lb
July 30,1916, ,5-9,Norm Calladine,155lb
,,, ,Brady Calla,(Age: 32-305d)
October 9,1945, ,5-10,Don Caley,160lb
June 15,1981, ,6-2,Ryan Caldwell,174lb
January 5,1979, ,5-11,Kyle Calder,177lb
July 26,1963, ,6-1,Eric Calder,180lb
January 3,2001, ,5-10,Maxim Cajkovic,185lb
August 18,1975, ,5-11,Petr Cajanek,193lb
April 27,1998, ,6-2,Matthew Cairns,200lb
June 27,1974, ,6-6,Eric Cairns,230lb
October 8,1955, ,6-1,Don Cairns,195lb
December 24,1912, ,5-11,Herb Cain,180lb
March 22,1899, ,5-8,Francis Cain,175lb
January 4,1904, ,5-10,Charles Cahill,180lb
May 29,1906, ,5-10,Art Chapman,170lb
May 9,1991,Montreal Canadiens,6-3,Ben Chiarot,225lb
April 23,1961, ,5-8,Alain Chevrier,180lb
July 8,1980, ,6-3,Eric Chouinard,215lb
September 18,1966, ,6-1,Tom Chorske,212lb
April 27,1987, ,6-0,Taylor Chorney,193lb
November 8,1959, ,6-0,Marc Chorney,200lb
February 15,1998,Detroit Red Wings,6-2,Dennis Cholowski,197lb
June 9,1999,San Jose Sharks,6-0,Sasha Chmelevski,180lb
June 3,1997, ,6-2,Filip Chlapik,194lb
August 7,2001, ,5-10,Semyon Chystyakov,167lb
October 30,1968, ,6-1,Dean Chynoweth,191lb
May 3,1966, ,6-4,Jeff Chychrun,215lb
March 31,1998,Arizona Coyotes,6-2,Jakob Chychrun,210lb
,,, ,Marek Chvatal,(Age: 36-352d)
June 24,1965, ,6-1,Shane Churla,200lb
,,, ,Jason Churchill,(Age: 35-069d)
,,, ,Christopher Clapperton,(Age: 26-326d)
February 9,1907, ,6-2,Dit Clapper,195lb
May 20,2002, ,6-2,Calle Clang,194lb
April 2,1943, ,5-11,Terry Clancy,195lb
February 25,1903, ,5-7,King Clancy,155lb
January 13,1991,St. Louis Blues,6-2,Kyle Clifford,211lb
,,, ,Will Colbert,(Age: 35-342d)
December 26,2001, ,6-1,Sam Colangelo,205lb
January 27,1983, ,6-1,Carlo Colaiacovo,202lb
April 25,1989, ,6-2,Colby Cohen,200lb
June 14,1987,Dallas Stars,5-10,Andrew Cogliano,177lb
February 19,1998,Vegas Golden Knights,6-2,Dylan Coghlan,190lb
January 1,1935, ,5-11,Les Colwill,170lb
February 8,1921, ,5-6,Les Colvin,150lb
August 4,1914, ,5-11,Neil Colville,175lb
May 2,1992,Florida Panthers,6-3,Brett Connolly,192lb
December 23,1983, ,5-8,Chris Conner,190lb
December 16,1939, ,5-10,Wayne Connelly,170lb
December 22,1950, ,6-0,Gary Connelly,185lb
April 22,1909, ,5-11,Bert Connelly,174lb
,,, ,Joe Cooper,(Age: 35-220d)
August 29,1915, ,5-5,Hal Cooper,155lb
August 28,1960, ,5-10,Ed Cooper,188lb
November 2,1973, ,6-2,David Cooper,204lb
July 17,1899, ,5-7,Carson Cooper,160lb
October 29,1978, ,6-3,Chris Corrinet,220lb
January 11,1946, ,5-10,Mike Corrigan,175lb
February 24,1958, ,6-0,Tim Coulis,200lb
September 19,1994, ,6-2,Liam Coughlin,190lb
June 6,1892, ,5-10,Jack Coughlin,170lb
December 28,1947, ,5-8,Tom Cottringer,160lb
July 9,1997, ,6-2,David Cotton,200lb
November 5,1902, ,5-10,Baldy Cotton,155lb
May 12,2001, ,6-1,Alex Cotton,175lb
January 25,1991, ,6-5,Jared Cowen,238lb
September 27,1976, ,6-2,Jeff Cowan,205lb
